Target, Model Type, Model, RMSD
7BRM-D1,ranked,ranked_0,4.243
7BRM-D1,Mod-5ranked,Mod-5ranked_unsupervised_0,4.373
7BRM-D1,Modalpha_2best_unsupervised,Mod-2best_unsupervised_0,4.312
7BRM-D1,ranked,ranked_1,4.100
7BRM-D1,Mod-5ranked,Mod-5ranked_unsupervised_1,3.831
7BRM-D1,Modalpha_2best_unsupervised,Mod-2best_unsupervised_1,3.649
7BRM-D1,ranked,ranked_2,4.178
7BRM-D1,Mod-5ranked,Mod-5ranked_unsupervised_2,4.281
7BRM-D1,Modalpha_2best_unsupervised,Mod-2best_unsupervised_2,4.799
7BRM-D1,ranked,ranked_3,9.226
7BRM-D1,Mod-5ranked,Mod-5ranked_unsupervised_3,5.680
7BRM-D1,Modalpha_2best_unsupervised,Mod-2best_unsupervised_3,4.844
7BRM-D1,ranked,ranked_4,4.893
7BRM-D1,Mod-5ranked,Mod-5ranked_unsupervised_4,3.701
7BRM-D1,Modalpha_2best_unsupervised,Mod-2best_unsupervised_4,3.394
7BXT-D1,ranked,ranked_0,1.694
7BXT-D1,Mod-5ranked,Mod-5ranked_unsupervised_0,2.210
7BXT-D1,Modalpha_2best_unsupervised,Mod-2best_unsupervised_0,3.768
7BXT-D1,ranked,ranked_1,1.148
7BXT-D1,Mod-5ranked,Mod-5ranked_unsupervised_1,4.932
7BXT-D1,Modalpha_2best_unsupervised,Mod-2best_unsupervised_1,2.706
7BXT-D1,ranked,ranked_2,1.127
7BXT-D1,Mod-5ranked,Mod-5ranked_unsupervised_2,1.958
7BXT-D1,Modalpha_2best_unsupervised,Mod-2best_unsupervised_2,2.072
7BXT-D1,ranked,ranked_3,1.965
7BXT-D1,Mod-5ranked,Mod-5ranked_unsupervised_3,1.805
7BXT-D1,Modalpha_2best_unsupervised,Mod-2best_unsupervised_3,4.584
7BXT-D1,ranked,ranked_4,2.072
7BXT-D1,Mod-5ranked,Mod-5ranked_unsupervised_4,2.134
7BXT-D1,Modalpha_2best_unsupervised,Mod-2best_unsupervised_4,5.354
7C2K-D1,ranked,ranked_0,1.486
7C2K-D1,Mod-5ranked,Mod-5ranked_unsupervised_0,1.625
7C2K-D1,Modalpha_2best_unsupervised,Mod-2best_unsupervised_0,1.573
7C2K-D1,ranked,ranked_1,1.380
7C2K-D1,Mod-5ranked,Mod-5ranked_unsupervised_1,1.649
7C2K-D1,Modalpha_2best_unsupervised,Mod-2best_unsupervised_1,1.456
7C2K-D1,ranked,ranked_2,2.741
7C2K-D1,Mod-5ranked,Mod-5ranked_unsupervised_2,1.623
7C2K-D1,Modalpha_2best_unsupervised,Mod-2best_unsupervised_2,1.512
7C2K-D1,ranked,ranked_3,2.511
7C2K-D1,Mod-5ranked,Mod-5ranked_unsupervised_3,1.610
7C2K-D1,Modalpha_2best_unsupervised,Mod-2best_unsupervised_3,1.461
7C2K-D1,ranked,ranked_4,2.546
7C2K-D1,Mod-5ranked,Mod-5ranked_unsupervised_4,1.617
7C2K-D1,Modalpha_2best_unsupervised,Mod-2best_unsupervised_4,1.469
7EDA-D1,ranked,ranked_0,0.628
7EDA-D1,Mod-5ranked,Mod-5ranked_unsupervised_0,3.511
7EDA-D1,Modalpha_2best_unsupervised,Mod-2best_unsupervised_0,1.075
7EDA-D1,ranked,ranked_1,0.615
7EDA-D1,Mod-5ranked,Mod-5ranked_unsupervised_1,3.436
7EDA-D1,Modalpha_2best_unsupervised,Mod-2best_unsupervised_1,2.427
7EDA-D1,ranked,ranked_2,3.243
7EDA-D1,Mod-5ranked,Mod-5ranked_unsupervised_2,3.412
7EDA-D1,Modalpha_2best_unsupervised,Mod-2best_unsupervised_2,1.460
7EDA-D1,ranked,ranked_3,3.298
7EDA-D1,Mod-5ranked,Mod-5ranked_unsupervised_3,3.258
7EDA-D1,Modalpha_2best_unsupervised,Mod-2best_unsupervised_3,1.793
7EDA-D1,ranked,ranked_4,3.521
7EDA-D1,Mod-5ranked,Mod-5ranked_unsupervised_4,3.544
7EDA-D1,Modalpha_2best_unsupervised,Mod-2best_unsupervised_4,2.134
7EV9-D1,ranked,ranked_0,0.780
7EV9-D1,Mod-5ranked,Mod-5ranked_unsupervised_0,1.293
7EV9-D1,Modalpha_2best_unsupervised,Mod-2best_unsupervised_0,1.688
7EV9-D1,ranked,ranked_1,0.814
7EV9-D1,Mod-5ranked,Mod-5ranked_unsupervised_1,2.198
7EV9-D1,Modalpha_2best_unsupervised,Mod-2best_unsupervised_1,2.322
7EV9-D1,ranked,ranked_2,2.429
7EV9-D1,Mod-5ranked,Mod-5ranked_unsupervised_2,2.365
7EV9-D1,Modalpha_2best_unsupervised,Mod-2best_unsupervised_2,2.407
7EV9-D1,ranked,ranked_3,1.898
7EV9-D1,Mod-5ranked,Mod-5ranked_unsupervised_3,1.629
7EV9-D1,Modalpha_2best_unsupervised,Mod-2best_unsupervised_3,2.243
7EV9-D1,ranked,ranked_4,2.133
7EV9-D1,Mod-5ranked,Mod-5ranked_unsupervised_4,1.325
7EV9-D1,Modalpha_2best_unsupervised,Mod-2best_unsupervised_4,3.488
7KU7-D1,ranked,ranked_0,3.672
