Target,Model Type,Model,DOPESCORE
T1024-D0,AlphaFold,ranked_0,-62220
T1024-D0,AlphaFold,ranked_1,-61564
T1024-D0,AlphaFold,ranked_2,-62299
T1024-D0,AlphaFold,ranked_3,-61015
T1024-D0,AlphaFold,ranked_4,-59905
T1024-D1,AlphaFold,ranked_0,-28775
T1024-D1,AlphaFold,ranked_1,-28699
T1024-D1,AlphaFold,ranked_2,-28802
T1024-D1,AlphaFold,ranked_3,-28777
T1024-D1,AlphaFold,ranked_4,-28638
T1024-D2,AlphaFold,ranked_0,-30433
T1024-D2,AlphaFold,ranked_1,-30438
T1024-D2,AlphaFold,ranked_2,-30398
T1024-D2,AlphaFold,ranked_3,-30431
T1024-D2,AlphaFold,ranked_4,-30140
T1025-D1,AlphaFold,ranked_0,-31354
T1025-D1,AlphaFold,ranked_1,-31219
T1025-D1,AlphaFold,ranked_2,-31394
T1025-D1,AlphaFold,ranked_3,-31089
T1025-D1,AlphaFold,ranked_4,-31248
T1026-D1,AlphaFold,ranked_0,-15852
T1026-D1,AlphaFold,ranked_1,-15805
T1026-D1,AlphaFold,ranked_2,-15872
T1026-D1,AlphaFold,ranked_3,-15820
T1026-D1,AlphaFold,ranked_4,-15727
T1027-D1,AlphaFold,ranked_0,-9813
T1027-D1,AlphaFold,ranked_1,-10390
T1027-D1,AlphaFold,ranked_2,-9882
T1027-D1,AlphaFold,ranked_3,-9974
T1027-D1,AlphaFold,ranked_4,-9988
T1028-D1,AlphaFold,ranked_0,-33201
T1028-D1,AlphaFold,ranked_1,-33128
T1028-D1,AlphaFold,ranked_2,-33277
T1028-D1,AlphaFold,ranked_3,-33065
T1028-D1,AlphaFold,ranked_4,-33165
T1029-D1,AlphaFold,ranked_0,-15423
T1029-D1,AlphaFold,ranked_1,-15391
T1029-D1,AlphaFold,ranked_2,-15345
T1029-D1,AlphaFold,ranked_3,-15423
T1029-D1,AlphaFold,ranked_4,-15355
T1030-D0,AlphaFold,ranked_0,-30313
T1030-D0,AlphaFold,ranked_1,-30199
T1030-D0,AlphaFold,ranked_2,-30238
T1030-D0,AlphaFold,ranked_3,-30129
T1030-D0,AlphaFold,ranked_4,-28437
T1030-D1,AlphaFold,ranked_0,-15926
T1030-D1,AlphaFold,ranked_1,-15971
T1030-D1,AlphaFold,ranked_2,-15939
T1030-D1,AlphaFold,ranked_3,-15958
T1030-D1,AlphaFold,ranked_4,-15944
T1030-D2,AlphaFold,ranked_0,-12757
T1030-D2,AlphaFold,ranked_1,-12609
T1030-D2,AlphaFold,ranked_2,-12549
T1030-D2,AlphaFold,ranked_3,-12647
T1030-D2,AlphaFold,ranked_4,-12608
T1024-D0,two_best_supervised,Mod-2best_supervised_0,-60463
T1024-D0,two_best_supervised,Mod-2best_supervised_1,-59925
T1024-D0,two_best_supervised,Mod-2best_supervised_2,-60322
T1024-D0,two_best_supervised,Mod-2best_supervised_3,-59806
T1024-D0,two_best_supervised,Mod-2best_supervised_4,-59868
T1024-D1,two_best_supervised,Mod-2best_supervised_0,-27750
T1024-D1,two_best_supervised,Mod-2best_supervised_1,-27831
T1024-D1,two_best_supervised,Mod-2best_supervised_2,-27879
T1024-D1,two_best_supervised,Mod-2best_supervised_3,-27779
T1024-D1,two_best_supervised,Mod-2best_supervised_4,-27985
T1024-D2,two_best_supervised,Mod-2best_supervised_0,-29364
T1024-D2,two_best_supervised,Mod-2best_supervised_1,-29302
T1024-D2,two_best_supervised,Mod-2best_supervised_2,-29191
T1024-D2,two_best_supervised,Mod-2best_supervised_3,-29419
T1024-D2,two_best_supervised,Mod-2best_supervised_4,-29341
