Target,Model Type,Model,GDT_TS
T1024-D0,AlphaFold,ranked_0,85.68
T1024-D0,AlphaFold,ranked_1,81.33
T1024-D0,AlphaFold,ranked_2,54.73
T1024-D0,AlphaFold,ranked_3,62.98
T1024-D0,AlphaFold,ranked_4,60.04
T1024-D0,five_ranked_unsupervised,Mod-5ranked_unsupervised_0,64.77
T1024-D0,five_ranked_unsupervised,Mod-5ranked_unsupervised_1,63.43
T1024-D0,five_ranked_unsupervised,Mod-5ranked_unsupervised_2,63.62
T1024-D0,five_ranked_unsupervised,Mod-5ranked_unsupervised_3,65.35
T1024-D0,five_ranked_unsupervised,Mod-5ranked_unsupervised_4,65.73
T1024-D0,two_best_supervised,Mod-2best_supervised_0,85.29
T1024-D0,two_best_supervised,Mod-2best_supervised_1,82.55
T1024-D0,two_best_supervised,Mod-2best_supervised_2,87.02
T1024-D0,two_best_supervised,Mod-2best_supervised_3,82.93
T1024-D0,two_best_supervised,Mod-2best_supervised_4,81.90
T1024-D0,two_best_unsupervised,Mod-2best_unsupervised_0,85.29
T1024-D0,two_best_unsupervised,Mod-2best_unsupervised_1,82.55
T1024-D0,two_best_unsupervised,Mod-2best_unsupervised_2,87.02
T1024-D0,two_best_unsupervised,Mod-2best_unsupervised_3,82.93
T1024-D0,two_best_unsupervised,Mod-2best_unsupervised_4,81.90
T1024-D1,AlphaFold,ranked_0,90.29
T1024-D1,AlphaFold,ranked_1,89.51
T1024-D1,AlphaFold,ranked_2,90.29
T1024-D1,AlphaFold,ranked_3,90.16
T1024-D1,AlphaFold,ranked_4,89.77
T1024-D1,five_ranked_unsupervised,Mod-5ranked_unsupervised_0,90.03
T1024-D1,five_ranked_unsupervised,Mod-5ranked_unsupervised_1,89.90
T1024-D1,five_ranked_unsupervised,Mod-5ranked_unsupervised_2,90.03
T1024-D1,five_ranked_unsupervised,Mod-5ranked_unsupervised_3,89.51
T1024-D1,five_ranked_unsupervised,Mod-5ranked_unsupervised_4,89.90
T1024-D1,two_best_supervised,Mod-2best_supervised_0,89.77
T1024-D1,two_best_supervised,Mod-2best_supervised_1,89.90
T1024-D1,two_best_supervised,Mod-2best_supervised_2,89.12
T1024-D1,two_best_supervised,Mod-2best_supervised_3,89.51
T1024-D1,two_best_supervised,Mod-2best_supervised_4,89.77
T1024-D1,two_best_unsupervised,Mod-2best_unsupervised_0,89.25
T1024-D1,two_best_unsupervised,Mod-2best_unsupervised_1,90.54
T1024-D1,two_best_unsupervised,Mod-2best_unsupervised_2,89.90
T1024-D1,two_best_unsupervised,Mod-2best_unsupervised_3,89.38
T1024-D1,two_best_unsupervised,Mod-2best_unsupervised_4,90.16
T1024-D2,AlphaFold,ranked_0,90.81
T1024-D2,AlphaFold,ranked_1,90.81
T1024-D2,AlphaFold,ranked_2,91.18
T1024-D2,AlphaFold,ranked_3,90.93
T1024-D2,AlphaFold,ranked_4,89.34
T1024-D2,five_ranked_unsupervised,Mod-5ranked_unsupervised_0,90.69
T1024-D2,five_ranked_unsupervised,Mod-5ranked_unsupervised_1,90.07
T1024-D2,five_ranked_unsupervised,Mod-5ranked_unsupervised_2,89.95
T1024-D2,five_ranked_unsupervised,Mod-5ranked_unsupervised_3,90.20
T1024-D2,five_ranked_unsupervised,Mod-5ranked_unsupervised_4,89.83
T1024-D2,two_best_supervised,Mod-2best_supervised_0,90.20
T1024-D2,two_best_supervised,Mod-2best_supervised_1,90.56
T1024-D2,two_best_supervised,Mod-2best_supervised_2,91.79
T1024-D2,two_best_supervised,Mod-2best_supervised_3,90.69
T1024-D2,two_best_supervised,Mod-2best_supervised_4,90.07
T1024-D2,two_best_unsupervised,Mod-2best_unsupervised_0,91.05
T1024-D2,two_best_unsupervised,Mod-2best_unsupervised_1,90.81
T1024-D2,two_best_unsupervised,Mod-2best_unsupervised_2,89.46
T1024-D2,two_best_unsupervised,Mod-2best_unsupervised_3,89.95
T1024-D2,two_best_unsupervised,Mod-2best_unsupervised_4,91.30
T1025-D1,AlphaFold,ranked_0,98.25
T1025-D1,AlphaFold,ranked_1,97.57
T1025-D1,AlphaFold,ranked_2,98.35
T1025-D1,AlphaFold,ranked_3,96.21
T1025-D1,AlphaFold,ranked_4,96.11
T1025-D1,five_ranked_unsupervised,Mod-5ranked_unsupervised_0,98.15
T1025-D1,five_ranked_unsupervised,Mod-5ranked_unsupervised_1,97.96
T1025-D1,five_ranked_unsupervised,Mod-5ranked_unsupervised_2,97.96
T1025-D1,five_ranked_unsupervised,Mod-5ranked_unsupervised_3,98.44
T1025-D1,five_ranked_unsupervised,Mod-5ranked_unsupervised_4,98.05
T1025-D1,two_best_supervised,Mod-2best_supervised_0,98.15
T1025-D1,two_best_supervised,Mod-2best_supervised_1,98.05
T1025-D1,two_best_supervised,Mod-2best_supervised_2,98.35
T1025-D1,two_best_supervised,Mod-2best_supervised_3,98.15
T1025-D1,two_best_supervised,Mod-2best_supervised_4,98.15
T1025-D1,two_best_unsupervised,Mod-2best_unsupervised_0,97.86
T1025-D1,two_best_unsupervised,Mod-2best_unsupervised_1,97.67
T1025-D1,two_best_unsupervised,Mod-2best_unsupervised_2,97.86
T1025-D1,two_best_unsupervised,Mod-2best_unsupervised_3,98.15
T1025-D1,two_best_unsupervised,Mod-2best_unsupervised_4,97.86
T1026-D1,AlphaFold,ranked_0,92.47
T1026-D1,AlphaFold,ranked_1,92.47
T1026-D1,AlphaFold,ranked_2,92.29
T1026-D1,AlphaFold,ranked_3,92.47
T1026-D1,AlphaFold,ranked_4,92.64
T1026-D1,five_ranked_unsupervised,Mod-5ranked_unsupervised_0,92.47
T1026-D1,five_ranked_unsupervised,Mod-5ranked_unsupervised_1,91.95
T1026-D1,five_ranked_unsupervised,Mod-5ranked_unsupervised_2,92.29
T1026-D1,five_ranked_unsupervised,Mod-5ranked_unsupervised_3,92.12
T1026-D1,five_ranked_unsupervised,Mod-5ranked_unsupervised_4,92.12
T1026-D1,two_best_supervised,Mod-2best_supervised_0,91.61
T1026-D1,two_best_supervised,Mod-2best_supervised_1,91.95
T1026-D1,two_best_supervised,Mod-2best_supervised_2,92.12
T1026-D1,two_best_supervised,Mod-2best_supervised_3,92.47
T1026-D1,two_best_supervised,Mod-2best_supervised_4,92.30
T1026-D1,two_best_unsupervised,Mod-2best_unsupervised_0,92.64
T1026-D1,two_best_unsupervised,Mod-2best_unsupervised_1,92.81
