Target,Model Type,Model,QMEAN
7BXT-D1,AlphaFold,ranked_0,0.70
7BXT-D1,AlphaFold,ranked_1,0.70
7BXT-D1,AlphaFold,ranked_2,0.69
7BXT-D1,AlphaFold,ranked_3,0.70
7BXT-D1,AlphaFold,ranked_4,0.70
7BXT-D1,five_ranked_unsupervised,Mod-5ranked_unsupervised_0,0.65
7BXT-D1,five_ranked_unsupervised,Mod-5ranked_unsupervised_1,0.67
7BXT-D1,five_ranked_unsupervised,Mod-5ranked_unsupervised_2,0.68
7BXT-D1,five_ranked_unsupervised,Mod-5ranked_unsupervised_3,0.69
7BXT-D1,five_ranked_unsupervised,Mod-5ranked_unsupervised_4,0.67
7BXT-D1,two_best_supervised,Mod-2best_supervised_0,0.65
7BXT-D1,two_best_supervised,Mod-2best_supervised_1,0.69
7BXT-D1,two_best_supervised,Mod-2best_supervised_2,0.68
7BXT-D1,two_best_supervised,Mod-2best_supervised_3,0.70
7BXT-D1,two_best_supervised,Mod-2best_supervised_4,0.65
7BXT-D1,two_best_unsupervised,Mod-2best_unsupervised_0,0.66
7BXT-D1,two_best_unsupervised,Mod-2best_unsupervised_1,0.69
7BXT-D1,two_best_unsupervised,Mod-2best_unsupervised_2,0.66
7BXT-D1,two_best_unsupervised,Mod-2best_unsupervised_3,0.66
7BXT-D1,two_best_unsupervised,Mod-2best_unsupervised_4,0.67
